"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"20372","BUS",33.7622699321316,-84.3920196101577,"DAILY",0,0
"20373","BUS",33.7609903694527,-84.3920502864318,"DAILY",146.98,38.01
"20374","BUS",33.7597098554261,-84.3920702926975,"DAILY",35.04,14.96
"20376","BUS",33.7579003920691,-84.3935094100767,"DAILY",1,2
"20386","BUS",33.7768997573182,-84.3920902989632,"DAILY",304.01,381
"20387","BUS",33.7782896763323,-84.3992205320581,"DAILY",2510.01,2683
"20388","BUS",33.7742702322294,-84.4023801882874,"DAILY",368,412
"20390","BUS",33.7731095880151,-84.403169768907,"DAILY",24,25
"20391","BUS",33.7864798288249,-84.3781205905015,"DAILY",2,3
"20392","BUS",33.78659018516,-84.383119489424,"DAILY",27,7
"20397","BUS",33.7866301417641,-84.3932800048967,"DAILY",30,28
"20398","BUS",33.7863304672334,-84.3957994606237,"DAILY",9,17
"20399","BUS",33.7862001325962,-84.4028296623901,"DAILY",45,44
"20401","BUS",33.7817801711046,-84.372780251311,"DAILY",3,4
"20402","BUS",33.7817896845818,-84.377649776382,"DAILY",1,1
"20403","BUS",33.7818001494067,-84.3804306473141,"DAILY",21,16
"20404","BUS",33.7817601928026,-84.3824699526643,"DAILY",54.99,24
"20406","BUS",33.7815004748759,-84.3891493779055,"DAILY",6,4
"20407","BUS",33.781520453178,-84.3905604865128,"DAILY",44,21
"20409","BUS",33.7815004748759,-84.3977093921224,"DAILY",0,0
"20410","BUS",33.7815099883531,-84.400819699563,"DAILY",10,28
"20411","BUS",33.7815499449572,-84.4074897885468,"DAILY",3,7
"20412","BUS",33.7738202447594,-84.3524898966396,"DAILY",75,74.02
"20413","BUS",33.7738002664574,-84.3600295913059,"DAILY",6,3
"20414","BUS",33.7735795537871,-84.3637200804517,"DAILY",67,67
"20415","BUS",33.7733303006854,-84.3650404939878,"DAILY",22,15
"20416","BUS",33.7734901271018,-84.3676506447859,"DAILY",2,2
"20417","BUS",33.7736499535182,-84.3709103323437,"DAILY",425.02,433.99
"20418","BUS",33.7725796873369,-84.3790395449725,"DAILY",2,1
"20419","BUS",33.7724997741287,-84.3817697333649,"DAILY",17,19
"20420","BUS",33.7724198609205,-84.3832995458153,"DAILY",22,19
"20421","BUS",33.7968200271571,-84.3500197897014,"DAILY",16,13
